,city,health_checkup,known,name,price
0,delhi,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
1,mumbai,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
2,noida,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
3,navi mumbai,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
4,faridabad,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
5,ahmedabad,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
6,jodhpur,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
7,ludhiana,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
8,visakhapatnam,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Screening Checkup,₹2199
9,nagpur,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
10,karnal,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
11,surat,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
12,raigarh,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
13,gurgaon,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
14,thane,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
15,hyderabad,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
16,chennai,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
17,bhubaneswar,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
18,indore,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
19,lucknow,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
20,patna,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
21,ernakulam,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
22,aurangabad,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
23,bhopal,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
24,krishnamedak,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
25,mohali,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
26,salem,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
27,rangareddy,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
28,bangalore,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Screening Checkup,₹2199
29,pune,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
30,kolkata,diabetes-checkup,Ideal for individuals aged 35 - 85 years,Advanced Diabetic Patient's Health Checkup,₹3599
